Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
52,Non-binary,Bachelor's,Single,62180,762,47971,Home,Employed,16,Fair,0.573486636,214999,1,North Nicholasbury,AS,Anguilla,0,1,Medium
61,Non-binary,High School,Widowed,115885,669,22519,Auto,Self-employed,3,Excellent,0.355376015,107725,,Amberside,WY,Aruba,,0,Medium
50,Male,High School,Divorced,92796,602,26101,Business,Self-employed,3,Poor,0.151181553,275199,1,Lake Mistyville,WV,Myanmar,4,2,High
58,Female,High School,Married,58913,685,9176,Auto,Self-employed,5,Fair,0.141507969,72032,0,Ianton,UT,Dominica,3,1,High
42,Female,PhD,Widowed,,642,15027,Business,Employed,7,Fair,0.510522553,78364,4,New Rachel,HI,Cambodia,,2,High
28,Non-binary,High School,Widowed,100876,684,34917,Personal,Employed,19,Excellent,0.44451944,134015,4,Justinberg,NC,Timor-Leste,4,1,Low
33,Female,PhD,Single,98455,775,34168,Auto,Employed,4,Good,0.454907668,,2,East Karen,IA,Sweden,1,0,Low
25,Female,Master's,Widowed,69365,,41212,Home,Unemployed,3,Fair,0.546068742,,,Lake Suzanne,MH,Kyrgyz Republic,4,1,High
46,Male,Bachelor's,Married,,780,,Personal,Self-employed,2,Excellent,0.361432141,181572,0,Allenberg,DE,Faroe Islands,0,0,High
42,Male,High School,Widowed,,,,Business,Unemployed,15,Excellent,0.32562922,25720,2,Scottland,IA,Sudan,1,0,Low
67,Male,High School,Single,37197,683,9750,Auto,Self-employed,1,Fair,0.155532228,,1,Craigburgh,AS,Tanzania,2,0,Low
25,Female,Bachelor's,Married,,,33628,Business,Employed,4,Poor,0.240259968,213423,1,New Brenda,MO,Mozambique,4,1,Medium
53,Non-binary,Master's,Widowed,,609,30062,Auto,Employed,6,Fair,0.58419416,267689,3,North Kellyland,IA,Puerto Rico,0,2,Low
54,Female,Bachelor's,Married,97169,611,48803,Business,Self-employed,9,Fair,0.562792579,185319,0,South Alexandraton,MH,Hungary,0,0,Low
18,Male,Bachelor's,Divorced,63578,681,26888,Business,Employed,12,Fair,0.101710802,49558,2,North Shannonmouth,IA,Venezuela,4,0,Low
55,Non-binary,Master's,Divorced,39727,710,29757,Personal,Employed,16,Good,0.57412331,63439,1,New Craig,MI,Cocos (Keeling) Islands,4,0,Low
27,Female,Bachelor's,Divorced,60225,652,25780,Personal,Employed,6,Good,0.400435971,84075,3,North Cindy,CA,British Indian Ocean Territory (Chagos Archipelago),4,0,High
31,Non-binary,High School,Widowed,63322,773,8074,Business,Employed,5,Fair,0.381467098,267802,3,Port Michaelmouth,ID,Romania,1,0,High
68,Non-binary,High School,Married,48274,683,12207,Personal,Unemployed,7,Poor,0.526798897,54954,2,Cameronmouth,MD,Guinea,2,0,Low
42,Non-binary,High School,Married,117932,707,31254,Personal,Unemployed,6,Excellent,0.318476156,295888,4,Garrettburgh,MO,Ethiopia,2,2,High
24,Male,Master's,Widowed,94900,774,17207,Business,Employed,19,Good,0.141423542,42756,3,East Anthonyside,DE,Poland,3,1,Medium
68,Female,Bachelor's,Divorced,51574,689,7989,Auto,Employed,6,Good,0.218623469,,3,Lake Jason,AK,Rwanda,0,1,Low
33,Female,High School,Married,,,22272,Home,Unemployed,11,Poor,0.347142461,128531,0,Masseytown,FL,Central African Republic,0,2,High
26,Male,Bachelor's,Single,70226,613,8012,Auto,Self-employed,4,Excellent,0.423059661,,,Port Allentown,OR,Czech Republic,2,2,Medium
18,Non-binary,Master's,Divorced,76999,779,,Business,Self-employed,13,Fair,0.135927086,47403,3,Allentown,FL,Switzerland,3,2,Medium
58,Non-binary,Master's,Divorced,43082,729,29256,Auto,Employed,5,Fair,0.313460402,59970,4,Sarahport,PW,Switzerland,3,1,Medium
30,Female,High School,Divorced,61387,615,8551,Home,Unemployed,19,Fair,0.350696522,,4,Lake Brendaland,NE,Bolivia,4,1,High
23,Female,High School,Married,30282,657,47171,Home,Employed,14,Poor,0.33878898,266909,4,North Katie,CT,Lebanon,,1,Medium
24,Non-binary,Bachelor's,Married,82759,785,14846,Auto,Employed,8,Good,0.48430441,281864,,Mosstown,SD,Indonesia,2,2,High
54,Non-binary,PhD,Married,100908,764,,Business,Employed,18,Fair,0.240809219,250753,3,East Adam,MH,Georgia,,0,Medium
62,Female,Bachelor's,Married,71962,757,16638,Auto,Unemployed,11,Good,0.175018185,170109,4,New Devin,AL,Greenland,,0,Low
27,Female,PhD,Married,111291,656,44591,Personal,Unemployed,6,Poor,0.388324064,264366,1,South Rachael,PR,Myanmar,,2,High
41,Non-binary,Bachelor's,Divorced,,700,28992,Home,Employed,16,Fair,0.561611008,273625,1,Chadchester,OH,Denmark,0,2,Medium
23,Female,Master's,Single,,,,Auto,Employed,3,Good,0.572711124,56250,0,Gonzalezmouth,NE,United States Virgin Islands,0,2,Low
20,Female,High School,Widowed,36685,626,49554,Home,Unemployed,7,Poor,0.227762423,72711,1,Port Michelleberg,MN,Poland,2,0,Medium
32,Non-binary,Bachelor's,Single,,756,33122,Auto,Self-employed,17,Poor,0.200469565,147960,1,Port John,VT,Gabon,0,2,High
67,Female,PhD,Married,60797,697,17248,Auto,Unemployed,18,Good,0.142243962,66499,2,Claytonfort,MD,Dominica,0,2,High
61,Non-binary,Bachelor's,Divorced,36643,648,42473,Personal,Self-employed,9,Fair,0.519747378,257763,2,Clarkshire,ND,Ghana,0,2,High
29,Male,Bachelor's,Widowed,78413,736,49220,Personal,Unemployed,11,Fair,0.262389934,57248,1,Port Jamesbury,MD,Liechtenstein,1,1,High
21,Female,Master's,Widowed,83763,696,36811,Personal,Employed,15,Poor,0.471861815,242953,0,East Erichaven,OR,Kenya,0,0,Low
68,Female,High School,Single,113923,601,44653,Auto,Employed,1,Good,0.270090609,263788,2,New Lindsay,OH,Mayotte,2,2,High
65,Non-binary,Bachelor's,Single,,,33514,Personal,Employed,1,Fair,0.229259672,31001,0,Medinaview,FL,Honduras,0,2,Low
32,Male,PhD,Divorced,53799,723,5547,Home,Self-employed,11,Excellent,0.185253102,57006,3,New Jeffreyberg,NH,Niue,2,1,Low
67,Female,High School,Divorced,95998,748,47430,Personal,Employed,3,Good,0.190274311,273263,2,Lake Charles,UT,Turkey,0,0,High
66,Male,Master's,Divorced,,,7537,Home,Self-employed,18,Fair,0.243955991,135593,,Ethanburgh,AL,Faroe Islands,3,0,High
41,Non-binary,Bachelor's,Divorced,92102,651,19686,Personal,Unemployed,0,Fair,0.530213146,125802,4,Grimesport,AS,Maldives,4,1,Low
62,Male,PhD,Married,88843,603,13549,Business,Employed,11,Poor,0.21213714,21568,1,Port Anthonyport,NY,Iraq,2,0,Low
63,Male,Bachelor's,Married,56434,609,47010,Home,Employed,4,Poor,0.415159344,197500,4,Wendymouth,MP,Malta,0,1,Medium
40,Non-binary,High School,Widowed,79223,,27059,Business,Self-employed,7,Poor,0.132312512,252787,1,Nicholasville,DC,France,1,1,Low
54,Female,High School,Divorced,102678,729,11857,Business,Self-employed,13,Fair,0.450019211,33863,4,Nicholsonstad,IL,Niue,2,2,Low
38,Male,Bachelor's,Married,69851,734,29004,Home,Unemployed,2,Excellent,0.450383447,107304,,East Kaitlin,AS,Togo,,1,High
57,Male,Master's,Widowed,52322,665,49360,Home,Employed,10,Fair,0.311998351,87211,0,Reesechester,DE,Antigua and Barbuda,2,1,Low
49,Male,Master's,Widowed,41536,603,42305,Auto,Self-employed,9,Good,0.290979588,125160,3,North Seanport,AZ,Kyrgyz Republic,2,2,Low
56,Female,High School,Single,85057,679,35548,Auto,Employed,17,Fair,0.326644537,140260,0,Michellechester,AS,Equatorial Guinea,1,1,High
22,Female,High School,Single,84006,644,29050,Auto,Unemployed,6,Good,0.57806012,,3,North Kristyberg,MD,Syrian Arab Republic,2,1,Low
41,Non-binary,PhD,Divorced,,707,46211,Personal,Self-employed,10,Fair,0.195595906,254225,3,Smallmouth,OH,Andorra,,0,Low
55,Female,Bachelor's,Divorced,105662,730,32440,Auto,Unemployed,17,Good,0.547985285,243369,2,East Cynthia,HI,Lesotho,3,2,Medium
57,Female,High School,Widowed,108660,623,33632,Personal,Employed,12,Good,0.147274283,113997,3,New Matthew,OK,Chile,2,0,High
50,Male,Bachelor's,Divorced,58733,702,30150,Auto,Unemployed,18,Good,0.491573038,265600,1,Lake Paige,LA,Guyana,0,0,Low
24,Female,High School,Married,73780,649,46951,Personal,Self-employed,19,Fair,0.253321568,35314,2,West Nicolemouth,SC,Guinea,2,0,High
62,Male,Master's,Married,31612,762,48099,Business,Employed,9,Poor,0.3405807,231833,1,Port John,OK,Vanuatu,,0,High
52,Non-binary,PhD,Divorced,64767,,47132,Auto,Unemployed,2,Fair,0.578104208,38898,2,Johnsonchester,WA,Niger,3,2,Medium
66,Non-binary,High School,Married,97236,,,Home,Unemployed,8,Excellent,0.388847811,93537,3,Pamelaberg,OH,Tuvalu,3,1,Low
64,Male,PhD,Widowed,82001,682,34036,Home,Self-employed,10,Fair,0.214712149,28404,1,Joneston,MD,Guadeloupe,0,1,Low
66,Non-binary,PhD,Single,102922,667,,Auto,Unemployed,17,Good,0.220807683,,,Blankenshipchester,NV,Nigeria,3,1,Medium
49,Non-binary,Bachelor's,Widowed,90233,765,47852,Auto,Employed,1,Excellent,0.531006328,134253,1,Brownchester,LA,Benin,4,2,Low
41,Female,Bachelor's,Divorced,49152,641,24391,Home,Unemployed,2,Good,0.52289779,252528,1,Ryanhaven,AL,Zimbabwe,4,2,High
27,Non-binary,High School,Widowed,32920,733,46199,Business,Self-employed,18,Good,0.497051973,65204,1,Leechester,CO,Svalbard & Jan Mayen Islands,1,1,Low
66,Non-binary,PhD,Married,54592,776,22994,Home,Self-employed,12,Fair,0.535285415,152199,0,Curryhaven,NM,Mauritius,4,1,Low
45,Female,Master's,Married,79469,761,8483,Auto,Employed,1,Poor,0.420344014,132262,4,Tracymouth,NY,Comoros,0,1,High
37,Non-binary,PhD,Divorced,86403,748,13172,Personal,Employed,18,Poor,0.416110164,234607,4,Lake Elizabeth,MH,Lithuania,1,2,High
26,Female,High School,Divorced,78396,619,34047,Home,Self-employed,13,Excellent,0.423586041,33239,0,Anthonymouth,SD,Vietnam,1,0,High
52,Female,High School,Married,110179,749,42559,Personal,Self-employed,15,Fair,0.525626534,132745,2,North William,VI,Western Sahara,2,1,High
43,Female,Master's,Married,89610,793,13882,Personal,Self-employed,19,Fair,0.169835712,246389,1,Ellisfurt,MD,Trinidad and Tobago,1,1,Low
67,Non-binary,High School,Widowed,28109,725,45290,Business,Employed,19,Poor,0.10571139,271959,1,Scottbury,IL,Nepal,4,2,Low
32,Non-binary,PhD,Divorced,70314,,,Auto,Employed,5,Good,0.429307772,189708,1,New Stacy,IA,Haiti,,1,Low
55,Male,PhD,Married,116185,614,28778,Home,Employed,6,Fair,0.143635993,269440,4,Port Richard,AZ,Burkina Faso,2,2,Medium
69,Non-binary,Master's,Divorced,51346,612,9083,Auto,Self-employed,12,Excellent,0.405005871,128515,2,Benjaminburgh,ID,Iran,3,1,Low
60,Male,Master's,Single,,793,39283,Business,Self-employed,18,Poor,0.313044282,159246,3,Lake Rebeccashire,MP,Bulgaria,2,1,High
23,Non-binary,High School,Widowed,93920,798,,Home,Self-employed,5,Excellent,0.586741817,52241,2,West Andrew,FM,Uzbekistan,,1,Low
56,Female,Master's,Married,26092,789,13678,Personal,Self-employed,0,Fair,0.198838309,157039,0,Jonesside,AZ,Trinidad and Tobago,4,0,Low
25,Non-binary,Master's,Divorced,32084,786,32198,Personal,Self-employed,9,Fair,0.134267916,155611,0,Peterhaven,MP,Kyrgyz Republic,2,2,Low
46,Female,Master's,Single,,764,10508,Home,Employed,17,Excellent,0.194835856,40345,3,West Carlastad,PR,Namibia,,0,Low
69,Male,Master's,Single,94944,,,Personal,Employed,12,Fair,0.295649281,,1,Barnesbury,IL,Angola,1,0,Low
64,Female,PhD,Widowed,42236,,42705,Business,Employed,6,Good,0.186871291,67557,0,Port Mary,PW,Antarctica (the territory South of 60 deg S),0,0,High
51,Male,High School,Divorced,86904,647,,Personal,Self-employed,10,Poor,0.358435333,166898,3,North Meganbury,VI,Iraq,3,2,High
35,Male,Bachelor's,Widowed,,711,15286,Personal,Employed,1,Excellent,0.383451591,156329,,North Taylorville,NV,Niger,2,0,Low
57,Female,PhD,Married,95973,731,18520,Business,Self-employed,19,Fair,0.350990989,,1,Lake Denise,MH,Comoros,1,0,Low
39,Non-binary,Master's,Married,118637,629,32447,Personal,Self-employed,11,Poor,0.215564319,58746,4,South Roy,OR,Bulgaria,,0,High
46,Male,PhD,Widowed,87228,602,,Personal,Self-employed,7,Poor,0.555169433,182601,4,Port Scottville,VT,Puerto Rico,4,1,Low
56,Male,High School,Single,87541,,,Auto,Unemployed,19,Poor,0.25988468,139339,,West Charles,GU,Switzerland,,0,Medium
65,Male,Master's,Divorced,92024,780,13451,Home,Unemployed,17,Fair,0.544445768,70816,1,Jeffreyland,UT,Saint Martin,0,1,High
37,Non-binary,Bachelor's,Single,106512,689,46229,Personal,Employed,13,Poor,0.347129806,82012,0,Lake Charles,GA,Turkmenistan,0,1,Low
51,Non-binary,Bachelor's,Married,40561,632,42722,Personal,Unemployed,3,Good,0.381899834,,,North Feliciaville,VA,Iran,0,2,Low
63,Non-binary,Master's,Single,56509,665,22409,Home,Unemployed,15,Fair,0.164173921,151459,3,East Catherine,NE,Saint Barthelemy,0,1,Low
63,Male,High School,Married,76790,788,14233,Business,Employed,14,Fair,0.169760787,50876,0,New Derrick,CA,Finland,4,1,Low
20,Male,Bachelor's,Widowed,97179,688,23105,Personal,Unemployed,19,Excellent,0.304994996,,1,Samanthaburgh,ND,Japan,1,1,High
49,Non-binary,Master's,Widowed,,,9827,Auto,Employed,16,Poor,0.217373575,58605,2,Leemouth,GA,Syrian Arab Republic,2,2,Low
53,Non-binary,Bachelor's,Widowed,101618,637,48930,Personal,Unemployed,17,Poor,0.475305556,127918,4,New David,ND,Montserrat,4,2,Medium
37,Male,High School,Divorced,103324,713,35198,Business,Unemployed,9,Poor,0.31905541,103197,1,New Sherriberg,ID,Kiribati,3,0,Low
54,Female,High School,Married,64233,,10407,Home,Self-employed,19,Fair,0.547590232,156397,4,Sarahaven,DC,Marshall Islands,3,0,High
20,Female,PhD,Divorced,71003,737,,Personal,Self-employed,0,Good,0.436631428,181879,2,East Amyview,KS,Dominican Republic,0,0,Low
43,Male,Bachelor's,Widowed,,,36207,Auto,Self-employed,9,Excellent,0.267478397,230930,4,North Lynn,VI,United States Minor Outlying Islands,0,0,High
26,Female,Master's,Single,62986,653,41357,Auto,Self-employed,1,Poor,0.441042159,70194,,Nicholsland,AR,Angola,,1,Medium
21,Male,Master's,Single,82134,,,Personal,Employed,2,Poor,0.234411138,,1,Watersport,MP,Papua New Guinea,2,2,Medium
54,Female,High School,Single,52206,747,32881,Home,Self-employed,17,Poor,0.107521102,272141,3,Emilyshire,WY,Dominica,4,0,High
25,Female,Master's,Married,,601,24059,Personal,Employed,15,Poor,0.594847045,55714,1,Chadberg,GU,Mayotte,3,1,High
20,Female,Bachelor's,Widowed,97093,788,44518,Auto,Employed,4,Fair,0.237180868,270355,2,North Steven,GU,Bahrain,4,0,High
30,Non-binary,Bachelor's,Widowed,49730,,40791,Auto,Unemployed,13,Good,0.445425112,234199,3,Robertston,WY,Uganda,4,2,High
29,Non-binary,Bachelor's,Married,23205,604,,Business,Unemployed,18,Fair,0.512087853,71605,,Ronaldhaven,MD,Western Sahara,0,0,Low
47,Non-binary,PhD,Widowed,47201,652,16609,Personal,Self-employed,15,Fair,0.425765596,198733,3,Port Josephton,NH,Dominican Republic,4,1,Low
26,Female,Master's,Married,97665,747,,Auto,Self-employed,0,Good,0.204954444,69692,,Courtneyberg,FM,Georgia,0,0,High
39,Non-binary,PhD,Married,,778,23610,Home,Unemployed,15,Good,0.403660644,92036,0,Solistown,VT,Palestinian Territory,,1,Medium
50,Non-binary,Master's,Divorced,,799,26989,Auto,Employed,11,Good,0.580115029,258881,4,Marciaport,MA,Palau,0,1,Low
61,Non-binary,PhD,Divorced,,604,29783,Personal,Employed,13,Excellent,0.410342991,,3,Humphreymouth,CO,Cocos (Keeling) Islands,1,2,High
41,Female,Bachelor's,Divorced,112221,772,33936,Home,Unemployed,18,Excellent,0.395465627,190208,0,West Johnny,MA,British Indian Ocean Territory (Chagos Archipelago),3,0,Medium
48,Male,PhD,Widowed,53749,,41669,Home,Unemployed,10,Good,0.296088417,127131,2,West Jasonmouth,GU,North Macedonia,,1,High
27,Non-binary,Master's,Divorced,46188,723,46286,Home,Unemployed,11,Excellent,0.499022919,91193,4,South Cassandramouth,KY,Bosnia and Herzegovina,0,0,High
34,Female,Master's,Married,90487,623,48478,Auto,Self-employed,13,Poor,0.37795377,212532,,Lake Karafurt,PR,Ecuador,0,2,Medium
67,Female,High School,Single,48210,729,14068,Auto,Self-employed,6,Fair,0.131804938,221948,,West Curtistown,GU,Saudi Arabia,2,0,Medium
26,Female,PhD,Married,22192,719,,Home,Employed,9,Poor,0.148555821,56176,,Lewistown,LA,Liberia,2,1,High
19,Male,High School,Widowed,23404,623,47752,Auto,Unemployed,3,Poor,0.249608538,206358,1,Johnnyberg,MN,Indonesia,0,1,Low
18,Male,Master's,Widowed,28758,688,45214,Auto,Employed,12,Excellent,0.373077313,250275,4,Conradside,TN,Bangladesh,3,1,Low
65,Male,High School,Divorced,,621,34300,Home,Employed,13,Poor,0.135656502,182539,4,Davidside,AS,Latvia,,1,High
36,Male,High School,Single,61787,625,8185,Auto,Self-employed,3,Poor,0.124686308,82964,3,Lake Nicolefort,AZ,Pitcairn Islands,2,2,High
49,Male,Master's,Widowed,64405,624,30814,Business,Self-employed,10,Good,0.194746298,,4,New Karen,KS,Tunisia,0,2,Medium
69,Female,PhD,Divorced,87008,698,8639,Business,Unemployed,10,Poor,0.273766198,281913,,North Scott,LA,Timor-Leste,0,1,Medium
62,Female,PhD,Widowed,101848,699,45635,Home,Self-employed,7,Poor,0.591653333,,,Payneville,NH,Kuwait,,2,High
19,Female,Master's,Married,25274,,49998,Business,Unemployed,11,Excellent,0.167636928,94706,3,Robynland,MP,United Arab Emirates,1,2,Medium
57,Male,Master's,Divorced,42622,738,22140,Personal,Employed,11,Poor,0.543718671,70221,4,Port Janice,GA,Togo,0,1,High
22,Female,PhD,Divorced,29906,796,22591,Auto,Unemployed,18,Poor,0.391526416,266130,,Savannahbury,MD,United Kingdom,3,2,High
33,Female,PhD,Divorced,32129,647,34309,Business,Self-employed,11,Good,0.346677924,228991,0,Laurieborough,NH,Cyprus,3,0,High
27,Male,Master's,Married,,614,47518,Personal,Employed,4,Excellent,0.163502166,201450,2,Cooleyport,MT,Canada,4,1,Low
39,Female,PhD,Widowed,34426,649,26515,Home,Employed,4,Good,0.587421637,275225,4,Harrisonfurt,VI,Germany,0,2,Medium
49,Female,Bachelor's,Widowed,42735,693,35460,Business,Employed,9,Poor,0.24940991,222338,3,Vanessaport,NE,Armenia,0,0,Medium
65,Non-binary,High School,Divorced,113077,661,14167,Home,Unemployed,8,Poor,0.37524369,178806,,Lake Emily,CA,Niue,,2,Medium
57,Male,High School,Married,98461,750,41872,Auto,Employed,9,Good,0.414760488,,3,Carrilloland,CA,Tokelau,,1,Low
35,Non-binary,High School,Married,92074,667,16463,Personal,Unemployed,7,Good,0.154185759,250121,2,Garyville,MO,Bangladesh,3,0,High
27,Non-binary,Bachelor's,Divorced,98183,668,,Auto,Employed,2,Fair,0.302175787,60675,0,Pearsonburgh,IA,Peru,2,1,Medium
56,Female,Master's,Single,21267,678,36064,Personal,Self-employed,17,Excellent,0.522015775,184844,3,East Kaitlyn,IN,Christmas Island,3,0,High
36,Male,PhD,Divorced,67738,763,47632,Home,Self-employed,10,Fair,0.50552691,,1,North Kaylamouth,OH,Kazakhstan,1,2,Low
46,Male,Master's,Married,,757,,Personal,Unemployed,15,Excellent,0.297835707,241201,3,Pereztown,CA,United States of America,4,2,Medium
64,Non-binary,PhD,Divorced,38595,636,20952,Home,Unemployed,5,Poor,0.167807771,45777,0,Johnsonchester,NJ,Saint Vincent and the Grenadines,4,1,Medium
56,Non-binary,High School,Single,22882,708,19068,Home,Employed,8,Fair,0.405214608,124941,2,Annaborough,KY,Guam,1,1,Low
34,Male,Master's,Divorced,92485,720,,Business,Self-employed,3,Excellent,0.427697342,44893,,East Richardtown,WA,Canada,1,2,High
50,Female,Bachelor's,Single,20064,794,,Business,Unemployed,13,Excellent,0.421157249,195012,1,Lake Lynn,WY,Niger,3,0,Low
67,Female,Bachelor's,Single,74327,715,37472,Auto,Self-employed,1,Good,0.58309606,,0,Hansenchester,MH,Bahamas,2,1,Low
